Etichette di riga;Media di count turtles;Dev. standard di count turtles2;Media di round storage;Dev. standard di round storage;Media di sum [max-psugar] of patches;Dev. standard di sum [max-psugar] of patches2
301;364,31;17,28588786;0;0;4622;0
302;364,88;17,07398044;0;0;4622;0
303;364,71;17,75722644;0;0;4622;0
304;364,68;18,12687051;0;0;4622;0
305;364,45;18,32058786;0;0;4622;0
306;364,68;18,25181878;0;0;4622;0
307;364,83;17,85126824;0;0;4622;0
308;365,85;17,73450383;0;0;4622;0
309;366,03;18,20836471;0;0;4622;0
310;366,46;18,44260548;0;0;4622;0
311;367,04;18,23356878;0;0;4622;0
312;367,32;18,53137116;0;0;4622;0
313;366,8;18,29334482;0;0;4622;0
314;366,67;17,86031943;0;0;4622;0
315;366,81;16,9662142;0;0;4622;0
316;367,19;17,18743668;0;0;4622;0
317;367,69;16,99536182;0;0;4622;0
318;367,97;16,82797995;0;0;4622;0
319;368,22;16,63608103;0;0;4622;0
320;368,34;15,95082088;0;0;4622;0
321;369,13;16,17433745;0;0;4622;0
322;369,57;15,78661689;0;0;4622;0
323;369,26;15,74777201;0;0;4622;0
324;368,74;15,8819;0;0;4622;0
325;368,93;15,89946635;0;0;4622;0
326;369,22;15,85195396;0;0;4622;0
327;369,55;15,90398908;0;0;4622;0
328;369,12;15,76678519;0;0;4622;0
329;369,14;16,3348917;0;0;4622;0
330;369,33;16,35777701;0;0;4622;0
331;369,73;17,2532269;0;0;4622;0
332;369,97;16,88969263;0;0;4622;0
333;370,13;17,19975041;0;0;4622;0
334;370,55;17,26348104;0;0;4622;0
335;371,01;17,29745412;0;0;4622;0
336;371,27;17,9149816;0;0;4622;0
337;370,54;17,9384019;0;0;4622;0
338;370,66;17,74067973;0;0;4622;0
339;369,93;17,13597138;0;0;4622;0
340;370,37;17,07656851;0;0;4622;0
341;371,28;16,93366738;0;0;4622;0
342;371,47;16,40981167;0;0;4622;0
343;371,94;16,14631334;0;0;4622;0
344;372,01;16,08091597;0;0;4622;0
345;372,63;15,92194027;0;0;4622;0
346;372,78;16,20610934;0;0;4622;0
347;372,32;16,0704761;0;0;4622;0
348;372,59;16,27360446;0;0;4622;0
349;372,29;16,38753838;0;0;4622;0
350;371,77;16,59734371;0;0;4622;0
351;371,49;16,69482167;0;0;4622;0
352;371,7;16,27447652;0;0;4622;0
353;371,5;15,70401737;0;0;4622;0
354;371,38;15,46829929;0;0;4622;0
355;371,78;15,27232924;0;0;4622;0
356;371,76;15,59015488;0;0;4622;0
357;372,21;15,27081788;0;0;4622;0
358;371,92;15,48911641;0;0;4622;0
359;371,85;15,22914205;0;0;4622;0
360;372,34;15,05090353;0;0;4622;0
361;373,09;14,92208383;0;0;4622;0
362;372,32;15,03119988;0;0;4622;0
363;372,45;15,72322158;0;0;4622;0
364;372,68;16,12256089;0;0;4622;0
365;372,47;16,57639492;0;0;4622;0
366;372,19;16,48733521;0;0;4622;0
367;372,78;15,68089618;0;0;4622;0
368;372,64;16,5233352;0;0;4622;0
369;372,96;16,92939587;0;0;4622;0
370;372,47;17,06994228;0;0;4622;0
371;372,19;16,34210958;0;0;4622;0
372;372,35;16,56537401;0;0;4622;0
373;371,73;16,37986877;0;0;4622;0
374;371,7;16,60138731;0;0;4622;0
375;372,67;15,56157856;0;0;4622;0
376;372,87;16,48302157;0;0;4622;0
377;372,95;15,90970417;0;0;4622;0
378;372,36;16,12546765;0;0;4622;0
379;372,5;16,07589324;0;0;4622;0
380;372,55;16,43682427;0;0;4622;0
381;372,38;17,1032397;0;0;4622;0
382;372,93;16,74481979;0;0;4622;0
383;373,06;17,11566121;0;0;4622;0
384;372,82;17,89271055;0;0;4622;0
385;372,81;17,19448761;0;0;4622;0
386;372,74;16,92742679;0;0;4622;0
387;372,8;16,93123347;0;0;4622;0
388;372,78;16,423425;0;0;4622;0
389;372,82;16,87049903;0;0;4622;0
390;373,02;16,63814529;0;0;4622;0
391;373,33;16,91216465;0;0;4622;0
392;373,33;16,71511443;0;0;4622;0
393;373,83;16,92828307;0;0;4622;0
394;374,27;17,47486218;0;0;4622;0
395;373,54;17,57949908;0;0;4622;0
396;373,45;17,57372637;0;0;4622;0
397;373,02;17,47377833;0;0;4622;0
398;372,96;17,97131272;0;0;4622;0
399;373,28;18,47087798;0;0;4622;0
400;373,1;18,44538759;0;0;4622;0
401;373,01;18,11160407;0;0;4622;0
402;373,49;17,54963812;0;0;4622;0
403;373,87;17,70216845;0;0;4622;0
404;373,78;17,67528663;0;0;4622;0
405;374,46;17,64602568;0;0;4622;0
406;374,44;17,44967946;0;0;4622;0
407;374,86;17,30009634;0;0;4622;0
408;374,26;17,46489697;0;0;4622;0
409;374,03;17,54961509;0;0;4622;0
410;374,51;18,04679383;0;0;4622;0
411;374,2;18,84010337;0;0;4622;0
412;373,91;19,01041448;0;0;4622;0
413;373,57;18,93756621;0;0;4622;0
414;373,11;18,66119779;0;0;4622;0
415;373,66;18,38269938;0;0;4622;0
416;373,88;17,87740519;0;0;4622;0
417;374,39;18,43629216;0;0;4622;0
418;373,77;18,2202324;0;0;4622;0
419;374,48;17,88147283;0;0;4622;0
420;374,32;17,26319141;0;0;4622;0
421;374,19;16,23918132;0;0;4622;0
422;374,23;16,75905002;0;0;4622;0
423;374,82;16,86690621;0;0;4622;0
424;374,34;16,76891063;0;0;4622;0
425;374,36;16,71116484;0;0;4622;0
426;375,06;17,31748693;0;0;4622;0
427;374,55;17,24943272;0;0;4622;0
428;375,16;17,71475445;0;0;4622;0
429;375,17;17,44605249;0;0;4622;0
430;374,81;16,99298429;0;0;4622;0
431;374,88;16,42324049;0;0;4622;0
432;375,45;16,66083231;0;0;4622;0
433;376,4;16,41814714;0;0;4622;0
434;376,1;16,41906997;0;0;4622;0
435;376,06;16,48618644;0;0;4622;0
